DATE,OPEN,HIGH,LOW,CLOSE
18-08-1987,0.439732,0.441964,0.430804,0.435268
19-08-1987,0.441964,0.446429,0.4375,0.446429
20-08-1987,0.448661,0.46875,0.444196,0.462054
21-08-1987,0.462054,0.479911,0.459821,0.473214
24-08-1987,0.473214,0.477679,0.466518,0.466518
25-08-1987,0.470982,0.475446,0.464286,0.464286
26-08-1987,0.473214,0.477679,0.464286,0.464286
27-08-1987,0.466518,0.470982,0.459821,0.464286
28-08-1987,0.464286,0.46875,0.459821,0.464286
31-08-1987,0.466518,0.484375,0.462054,0.482143
01-09-1987,0.488839,0.493304,0.46875,0.46875
02-09-1987,0.464286,0.475446,0.453125,0.464286
03-09-1987,0.46875,0.470982,0.448661,0.457589
04-09-1987,0.457589,0.462054,0.446429,0.450893
08-09-1987,0.448661,0.450893,0.433036,0.445313
09-09-1987,0.448661,0.473214,0.441964,0.470982
10-09-1987,0.475446,0.486607,0.47433,0.479911
11-09-1987,0.482143,0.495536,0.470982,0.486607
14-09-1987,0.488839,0.493304,0.470982,0.473214
15-09-1987,0.473214,0.473214,0.459821,0.462054
16-09-1987,0.462054,0.469866,0.457589,0.462054
17-09-1987,0.464286,0.466518,0.455357,0.464286
18-09-1987,0.464286,0.466518,0.458705,0.462054
21-09-1987,0.462054,0.470982,0.448661,0.448661
22-09-1987,0.450893,0.484375,0.448661,0.483259
23-09-1987,0.483259,0.5,0.479911,0.493304
24-09-1987,0.493304,0.516741,0.493304,0.504464
25-09-1987,0.506696,0.517857,0.504464,0.513393
28-09-1987,0.513393,0.524554,0.495536,0.497768
29-09-1987,0.5,0.5,0.484375,0.486607
30-09-1987,0.484375,0.508929,0.484375,0.504464
01-10-1987,0.506696,0.524554,0.504464,0.520089
02-10-1987,0.520089,0.524554,0.513393,0.522321
05-10-1987,0.522321,0.533482,0.515625,0.529018
06-10-1987,0.53125,0.53125,0.495536,0.497768
07-10-1987,0.495536,0.497768,0.484375,0.495536
08-10-1987,0.495536,0.5,0.475446,0.484375
09-10-1987,0.484375,0.495536,0.482143,0.483259
12-10-1987,0.484375,0.485491,0.462054,0.475446
13-10-1987,0.486607,0.488839,0.475446,0.486607
14-10-1987,0.479911,0.482143,0.464286,0.475446
15-10-1987,0.475446,0.486607,0.462054,0.464286
16-10-1987,0.466518,0.473214,0.424107,0.430804
19-10-1987,0.430804,0.430804,0.316964,0.325893
20-10-1987,0.34375,0.375,0.291295,0.308036
21-10-1987,0.34375,0.375,0.339286,0.361607
22-10-1987,0.350446,0.361607,0.321429,0.328125
23-10-1987,0.319196,0.325893,0.305804,0.316964
26-10-1987,0.308036,0.3125,0.246652,0.25
27-10-1987,0.263393,0.287946,0.258929,0.270089
28-10-1987,0.274554,0.301339,0.261161,0.299107
29-10-1987,0.305804,0.357143,0.287946,0.352679
30-10-1987,0.357143,0.383929,0.34375,0.344866
02-11-1987,0.345982,0.352679,0.334821,0.345982
03-11-1987,0.339286,0.34375,0.305804,0.323661
04-11-1987,0.316964,0.332589,0.310268,0.321429
05-11-1987,0.323661,0.345982,0.323661,0.339286
06-11-1987,0.341518,0.352679,0.330357,0.337054
09-11-1987,0.330357,0.334821,0.323661,0.332589
10-11-1987,0.325893,0.334821,0.321429,0.323661
11-11-1987,0.332589,0.341518,0.328125,0.332589
12-11-1987,0.34375,0.357143,0.342634,0.345982
13-11-1987,0.350446,0.352679,0.330357,0.332589
16-11-1987,0.337054,0.34375,0.325893,0.328125
17-11-1987,0.328125,0.330357,0.3125,0.3125
18-11-1987,0.319196,0.325893,0.308036,0.323661
19-11-1987,0.325893,0.325893,0.303571,0.308036
